index, LetterN, Letter, No01, No02, No03, No04, DateFull, Year, day, month, date
2376, 10, 'J', 03, 20, 27, 62, 'Wednesday January 29', 2020, 4, 1, 29
2375, 7, 'G', 23, 37, 45, 74, 'Tuesday January 28', 2020, 3, 1, 28
2374, 7, 'G', 44, 53, 62, 67, 'Monday January 27', 2020, 2, 1, 27
2373, 24, 'X', 09, 41, 43, 49, 'Sunday January 26', 2020, 1, 1, 26
2372, 9, 'I', 4, 10, 46, 69, 'Saturday January 25', 2020, 7, 1, 25
2371, 18, 'R', 4, 27, 31, 35, 'Friday January 24', 2020, 6, 1, 24
2370, 23, 'W', 12, 17, 49, 56, 'Thursday January 23', 2020, 5, 1, 23
2369, 26, 'Z', 40, 61, 62, 64, 'Wednesday January 22', 2020, 4, 1, 22
2368, 24, 'X', 08, 25, 60, 80, 'Tuesday January 21', 2020, 3, 1, 21
2367, 1, 'A', 8, 33, 56, 79, 'Monday January 20', 2020, 2, 1, 20
2366, 11, 'K', 35, 63, 67, 73, 'Sunday January 19', 2020, 1, 1, 19
2365, 11, 'K', 12, 22, 70, 79, 'Saturday January 18', 2020, 7, 1, 18
2364, 19, 'S', 04, 28, 56, 77, 'Friday January 17', 2020, 6, 1, 17
2363, 21, 'U', 2, 4, 20, 51, 'Thursday January 16', 2020, 5, 1, 16
2362, 4, 'D', 04, 23, 36, 37, 'Wednesday January 15', 2020, 4, 1, 15
2361, 9, 'I', 6, 13, 18, 34, 'Tuesday January 14', 2020, 3, 1, 14
2360, 4, 'D', 21, 43, 44, 51, 'Monday January 13', 2020, 2, 1, 13
2359, 20, 'T', 37, 46, 74, 76, 'Sunday January 12', 2020, 1, 1, 12
2358, 3, 'C', 04, 18, 31, 43, 'Saturday January 11', 2020, 7, 1, 11
2357, 2, 'B', 25, 32, 35, 52, 'Friday January 10', 2020, 6, 1, 10
2356, 7, 'G', 36, 61, 69, 80, 'Thursday January 09', 2020, 5, 1, 09
2355, 25, 'Y', 31, 56, 61, 73, 'Wednesday January 08', 2020, 4, 1, 08
2354, 6, 'F', 01, 23, 71, 72, 'Tuesday January 07', 2020, 3, 1, 07
2353, 3, 'C', 25, 30, 56, 69, 'Monday January 06', 2020, 2, 1, 06
2352, 9, 'I', 02, 72, 77, 79, 'Sunday January 05', 2020, 1, 1, 05
2351, 21, 'U', 1, 44, 69, 76, 'Saturday January 04', 2020, 7, 1, 04
2350, 20, 'T', 10, 37, 67, 74, 'Friday January 03', 2020, 6, 1, 03
2349, 25, 'Y', 36, 40, 61, 79, 'Thursday January 02', 2020, 5, 1, 02
2348, 3, 'C', 12, 32, 61, 76, 'Wednesday January 01', 2020, 4, 1, 01
2347, 25, 'Y', 49, 52, 63, 76, 'Tuesday December 31', 2019, 3, 12, 31
2346, 3, 'C', 03, 22, 61, 64, 'Monday December 30', 2019, 2, 12, 30
2345, 11, 'K', 21, 44, 62, 65, 'Sunday December 29', 2019, 1, 12, 29
2344, 3, 'C', 18, 26, 30, 49, 'Saturday December 28', 2019, 7, 12, 28
2343, 26, 'Z', 5, 10, 40, 41, 'Friday December 27', 2019, 6, 12, 27
2342, 14, 'N', 10, 19, 43, 64, 'Thursday December 26', 2019, 5, 12, 26
2341, 20, 'T', 16, 47, 48, 49, 'Wednesday December 25', 2019, 4, 12, 25
2340, 4, 'D', 5, 13, 36, 65, 'Tuesday December 24', 2019, 3, 12, 24
2339, 4, 'D', 36, 49, 53, 67, 'Monday December 23', 2019, 2, 12, 23
2338, 3, 'C', 61, 66, 68, 78, 'Sunday December 22', 2019, 1, 12, 22
2337, 8, 'H', 11, 46, 56, 66, 'Saturday December 21', 2019, 7, 12, 21
2336, 19, 'S', 13, 23, 46, 52, 'Friday December 20', 2019, 6, 12, 20
2335, 10, 'J', 21, 44, 59, 60, 'Thursday December 19', 2019, 5, 12, 19
2334, 11, 'K', 16, 25, 67, 77, 'Wednesday December 18', 2019, 4, 12, 18
2333, 10, 'J', 20, 47, 48, 52, 'Tuesday December 17', 2019, 3, 12, 17
2332, 10, 'J', 40, 48, 59, 66, 'Monday December 16', 2019, 2, 12, 16
2331, 9, 'I', 08, 09, 58, 69, 'Sunday December 15', 2019, 1, 12, 15
2330, 4, 'D', 26, 61, 64, 68, 'Saturday December 14', 2019, 7, 12, 14
2329, 2, 'B', 45, 48, 62, 76, 'Friday December 13', 2019, 6, 12, 13
2328, 4, 'D', 37, 62, 65, 67, 'Thursday December 12', 2019, 5, 12, 12
2327, 5, 'E', 05, 27, 77, 79, 'Wednesday December 11', 2019, 4, 12, 11
2326, 13, 'M', 4, 12, 63, 70, 'Tuesday December 10', 2019, 3, 12, 10
2325, 10, 'J', 53, 60, 68, 75, 'Monday December 09', 2019, 2, 12, 09
2324, 14, 'N', 40, 42, 66, 71, 'Sunday December 08', 2019, 1, 12, 08
2323, 10, 'J', 1, 25, 65, 78, 'Saturday December 07', 2019, 7, 12, 07
2322, 12, 'L', 22, 33, 53, 61, 'Friday December 06', 2019, 6, 12, 06
2321, 11, 'K', 14, 34, 38, 56, 'Thursday December 05', 2019, 5, 12, 05
2320, 19, 'S', 34, 59, 66, 67, 'Wednesday December 04', 2019, 4, 12, 04
2319, 18, 'R', 26, 33, 34, 69, 'Tuesday December 03', 2019, 3, 12, 03
2318, 21, 'U', 38, 47, 48, 74, 'Monday December 02', 2019, 2, 12, 02
2317, 22, 'V', 08, 18, 71, 73, 'Sunday December 01', 2019, 1, 12, 01
2316, 26, 'Z', 7, 55, 56, 64, 'Saturday November 30', 2019, 7, 11, 30
2315, 6, 'F', 19, 22, 44, 55, 'Friday November 29', 2019, 6, 11, 29
2314, 17, 'Q', 1, 27, 50, 52, 'Thursday November 28', 2019, 5, 11, 28
2313, 8, 'H', 03, 66, 69, 78, 'Wednesday November 27', 2019, 4, 11, 27
2312, 3, 'C', 15, 21, 42, 47, 'Tuesday November 26', 2019, 3, 11, 26
2311, 13, 'M', 03, 08, 14, 22, 'Monday November 25', 2019, 2, 11, 25
2310, 11, 'K', 17, 50, 55, 71, 'Sunday November 24', 2019, 1, 11, 24
2309, 4, 'D', 16, 31, 36, 53, 'Saturday November 23', 2019, 7, 11, 23
2308, 17, 'Q', 4, 12, 57, 67, 'Friday November 22', 2019, 6, 11, 22
2307, 25, 'Y', 23, 28, 46, 63, 'Thursday November 21', 2019, 5, 11, 21
2306, 12, 'L', 03, 07, 49, 50, 'Wednesday November 20', 2019, 4, 11, 20
2305, 10, 'J', 16, 17, 43, 75, 'Tuesday November 19', 2019, 3, 11, 19
2304, 6, 'F', 23, 63, 68, 71, 'Monday November 18', 2019, 2, 11, 18
2303, 17, 'Q', 26, 42, 56, 65, 'Saturday November 16', 2019, 7, 11, 16
2302, 16, 'P', 13, 17, 26, 79, 'Friday November 15', 2019, 6, 11, 15
2301, 23, 'W', 5, 24, 49, 69, 'Thursday November 14', 2019, 5, 11, 14
2300, 7, 'G', 05, 11, 46, 48, 'Wednesday November 13', 2019, 4, 11, 13
2299, 12, 'L', 8, 33, 65, 80, 'Tuesday November 12', 2019, 3, 11, 12
2298, 6, 'F', 20, 51, 61, 80, 'Monday November 11', 2019, 2, 11, 11
2297, 15, 'O', 6, 43, 45, 57, 'Sunday November 10', 2019, 1, 11, 10
2296, 10, 'J', 10, 11, 73, 79, 'Saturday November 09', 2019, 7, 11, 09
2295, 20, 'T', 8, 14, 15, 39, 'Friday November 08', 2019, 6, 11, 08
2294, 25, 'Y', 46, 52, 54, 57, 'Thursday November 07', 2019, 5, 11, 07
2293, 17, 'Q', 21, 42, 51, 74, 'Wednesday November 06', 2019, 4, 11, 06
2292, 14, 'N', 40, 50, 59, 63, 'Tuesday November 05', 2019, 3, 11, 05
2291, 10, 'J', 06, 16, 37, 38, 'Monday November 04', 2019, 2, 11, 04
2290, 4, 'D', 09, 17, 20, 47, 'Sunday November 03', 2019, 1, 11, 03
2289, 25, 'Y', 11, 28, 63, 65, 'Saturday November 02', 2019, 7, 11, 02
2288, 11, 'K', 26, 41, 46, 80, 'Friday November 01', 2019, 6, 11, 01
2287, 23, 'W', 26, 44, 54, 59, 'Thursday October 31', 2019, 5, 10, 31
2286, 24, 'X', 59, 70, 72, 77, 'Wednesday October 30', 2019, 4, 10, 30
2285, 5, 'E', 09, 29, 30, 43, 'Tuesday October 29', 2019, 3, 10, 29
2284, 17, 'Q', 59, 69, 79, 80, 'Monday October 28', 2019, 2, 10, 28
2283, 9, 'I', 18, 20, 48, 61, 'Sunday October 27', 2019, 1, 10, 27
2282, 22, 'V', 03, 48, 55, 69, 'Saturday October 26', 2019, 7, 10, 26
2281, 19, 'S', 4, 16, 28, 49, 'Friday October 25', 2019, 6, 10, 25
2280, 7, 'G', 9, 35, 39, 48, 'Thursday October 24', 2019, 5, 10, 24
2279, 13, 'M', 15, 36, 37, 66, 'Wednesday October 23', 2019, 4, 10, 23
2278, 19, 'S', 14, 22, 31, 68, 'Tuesday October 22', 2019, 3, 10, 22
2277, 26, 'Z', 01, 32, 40, 59, 'Monday October 21', 2019, 2, 10, 21
2276, 17, 'Q', 02, 06, 10, 20, 'Sunday October 20', 2019, 1, 10, 20
2275, 25, 'Y', 27, 48, 64, 71, 'Saturday October 19', 2019, 7, 10, 19
2274, 7, 'G', 14, 36, 56, 66, 'Friday October 18', 2019, 6, 10, 18
2273, 16, 'P', 34, 61, 67, 72, 'Thursday October 17', 2019, 5, 10, 17
2272, 8, 'H', 05, 10, 24, 65, 'Wednesday October 16', 2019, 4, 10, 16
2271, 17, 'Q', 30, 35, 55, 74, 'Tuesday October 15', 2019, 3, 10, 15
2270, 3, 'C', 04, 07, 14, 26, 'Monday October 14', 2019, 2, 10, 14
2269, 11, 'K', 21, 28, 40, 50, 'Sunday October 13', 2019, 1, 10, 13
2268, 22, 'V', 1, 21, 67, 72, 'Saturday October 12', 2019, 7, 10, 12
2267, 10, 'J', 9, 48, 53, 55, 'Friday October 11', 2019, 6, 10, 11
2266, 18, 'R', 12, 35, 38, 47, 'Thursday October 10', 2019, 5, 10, 10
2265, 22, 'V', 9, 17, 32, 60, 'Wednesday October 09', 2019, 4, 10, 09
2264, 10, 'J', 20, 47, 62, 71, 'Tuesday October 08', 2019, 3, 10, 08
2263, 13, 'M', 23, 58, 59, 66, 'Monday October 07', 2019, 2, 10, 07
2262, 2, 'B', 16, 50, 61, 72, 'Sunday October 06', 2019, 1, 10, 06
2261, 16, 'P', 18, 40, 45, 64, 'Saturday October 05', 2019, 7, 10, 05
2260, 6, 'F', 07, 28, 34, 60, 'Friday October 04', 2019, 6, 10, 04
2259, 5, 'E', 14, 17, 57, 65, 'Thursday October 03', 2019, 5, 10, 03
2258, 20, 'T', 11, 14, 27, 46, 'Wednesday October 02', 2019, 4, 10, 02
2257, 26, 'Z', 19, 29, 38, 79, 'Tuesday October 01', 2019, 3, 10, 01
2256, 26, 'Z', 14, 48, 69, 78, 'Monday September 30', 2019, 2, 9, 30
2255, 9, 'I', 17, 21, 23, 79, 'Sunday September 29', 2019, 1, 9, 29
2254, 7, 'G', 1, 5, 52, 77, 'Saturday September 28', 2019, 7, 9, 28
2253, 21, 'U', 17, 35, 43, 60, 'Friday September 27', 2019, 6, 9, 27
2252, 21, 'U', 16, 19, 23, 76, 'Thursday September 26', 2019, 5, 9, 26
2251, 7, 'G', 4, 48, 67, 80, 'Wednesday September 25', 2019, 4, 9, 25
2250, 24, 'X', 25, 45, 59, 69, 'Tuesday September 24', 2019, 3, 9, 24
2249, 26, 'Z', 46, 64, 70, 80, 'Monday September 23', 2019, 2, 9, 23
2248, 17, 'Q', 31, 36, 45, 77, 'Sunday September 22', 2019, 1, 9, 22
2247, 5, 'E', 13, 14, 22, 59, 'Saturday September 21', 2019, 7, 9, 21
2246, 24, 'X', 2, 51, 68, 79, 'Friday September 20', 2019, 6, 9, 20
2245, 15, 'O', 41, 55, 59, 64, 'Thursday September 19', 2019, 5, 9, 19
2244, 16, 'P', 11, 17, 18, 29, 'Wednesday September 18', 2019, 4, 9, 18
2243, 20, 'T', 18, 46, 58, 70, 'Tuesday September 17', 2019, 3, 9, 17
2242, 19, 'S', 20, 41, 57, 73, 'Monday September 16', 2019, 2, 9, 16
2241, 12, 'L', 15, 20, 38, 45, 'Sunday September 15', 2019, 1, 9, 15
2240, 5, 'E', 27, 36, 54, 63, 'Saturday September 14', 2019, 7, 9, 14
